北京协和医院	nth
朱娟	nr
专家	nnt
讲解	v
子宫	n
脱垂	gb
分级	v

	w
致	v
编辑	nnt
：	w
银屑病	nhd
是	vshi
一	m
种	q
慢性	b
免疫性	n
疾病	n
，	w
其	rz
自然	n
病史	n
多变	z
，	w
以	p
反复	d
缓解	v
和	cc
恶化	vi
为	p
特征	n
，	w
往往	d
难以	d
治疗	vn
。	w
局部	n
治疗	vn
是	vshi
治疗	vn
轻度	b
银屑病	nhd
的	ude1
一线	n
方法	n
，	w
在	p
较	d
严重	a
的	ude1
银屑病	nhd
中	f
通常	d
与	cc
全身	n
药物	n
联合	vd
使用	v
。	w
强效	a
糖皮质激素	gb
的	ude1
批准	v
应用	vn
时间	n
限制	vn
在	p
2	m
-	nx
4	m
周	qt
[	w
1,2,3	m
]	w
。	w
一	m
种	q
新型	b
复合	vn
洗剂	nz
即	v
0.01	m
%	nx
丙酸	nmc
卤	n
倍	q
他	rr
索	vg
与	cc
0.045	m
%	nx
他	rr
扎罗汀	nrf
（	w
HP	nx
/	w
 	w
TAZ	nx
）	w
复合	vn
制剂	n
的	ude1
研究	vn
数据	n
已经	d
发表	v
[	w
4,5	m
]	w
。	w
每日	t
使用	v
8	m
周	qt
和	cc
治疗	vn
4	m
周	qt
后	f
具有	v
良好	a
的	ude1
耐受性	gb
，	w
该	rz
复合	vn
制剂	n
相比	vi
于	p
单一	a
制剂	n
具有	v
协同	vd
和	cc
持续	vd
的	ude1
功效	n
。	w
治疗	vn
成功率	n
（	w
从	p
基线	n
IGA	nx
评分	vn
至少	d
有	vyou
2	m
级	q
改善	v
，	w
IGA	nx
评分	vn
相当于	v
清除	v
或	c
几乎	d
清除	v
）	w
在	p
第	mq
8	m
周	qt
和	cc
第	mq
12	m
周	qt
分别为	v
42.8	m
％	w
和	cc
31.2	m
％	w
；	w
相比	vi
于	p
HP	nx
、	w
TAZ	nx
乳液	nmc
分别	d
对应	vi
的	ude1
32.5	m
％	w
和	cc
20.0	m
％	w
，	w
这	rzv
是	vshi
两者	rzv
的	ude1
综合	vn
效果	n
（	w
HP	nx
+	w
 	w
TAZ	nx
）	w
[	w
4	m
]	w
。	w
随后	d
的	ude1
Ⅲ	m
期	qv
研究	vn
中	f
最	d
常见	a
的	ude1
治疗	vn
相关	vn
不良	a
事件	n
（	w
AEs	nx
）	w
是	vshi
接触	v
性皮炎	nz
（	w
6.3	m
％	w
）	w
，	w
瘙痒症	nhd
（	w
2.2	m
％	w
）	w
和	cc
外用	vn
药物	n
部位	n
疼痛	an
（	w
2.6	m
％	w
）	w
[	w
5	m
]	w
。	w
这些	rz
不良	a
事件	n
的	ude1
发生率	n
远	a
低于	v
2	m
期	qv
研究	vn
中	f
单独	d
使用	v
TAZ	nx
的	ude1
报道	v
（	w
其中	rz
最	d
常见	a
的	ude1
治疗	vn
相关	vn
不良	a
事件	n
是	vshi
外用	vn
药物	n
部位	n
疼痛	an
[	w
8.6	m
％	w
]	w
，	w
瘙痒	nhd
[	w
6.9	m
％	w
]	w
和	cc
红斑	n
[	w
3.4	m
％	w
]	w
）	w
 	w
[	w
4	m
]	w
。	w

	w
我们	rr
报告	n
了	ule
一	m
项	q
Ⅲ	m
期	qv
、	w
长期	d
多	a
中心	nis
开放性	n
研究	vn
的	ude1
结果	n
，	w
该	rz
研究	vn
纳入	v
了	ule
555	m
名	q
中度	b
至	p
重度	b
斑块	n
状	ng
银屑病	nhd
患者	n
（	w
年龄	n
19	m
-	nx
87	m
岁	qt
[	w
平均	a
51.9	m
岁	qt
]	w
）	w
，	w
用	p
HP	nx
 	w
/	w
 	w
TAZ	nx
乳液	nmc
